Date,Eastern Front,Eastern Cum.,Other Fronts,Other Cum.
Jun-41," 25,000 "," 25,000 "," 4,000 "," 4,000 "
Jul-41," 63,099 "," 88,099 "," 4,033 "," 8,033 "
Aug-41," 46,066 "," 134,165 "," 5,000 "," 13,033 "
Sep-41," 51,033 "," 185,198 "," 2,000 "," 15,033 "
Oct-41," 41,099 "," 226,297 "," 3,000 "," 18,033 "
Nov-41," 36,000 "," 262,297 "," 2,000 "," 20,033 "
Dec-41," 40,198 "," 302,495 "," 2,000 "," 22,033 "
Jan-42," 48,165 "," 350,660 "," 5,000 "," 27,033 "
Feb-42," 44,099 "," 394,759 "," 8,000 "," 35,033 "
Mar-42," 44,132 "," 438,891 "," 2,000 "," 37,033 "
Apr-42," 23,066 "," 461,957 "," 1,000 "," 38,033 "
May-42," 38,099 "," 500,056 "," 6,000 "," 44,033 "
Jun-42," 29,033 "," 529,089 "," 5,000 "," 49,033 "
Jul-42," 38,066 "," 567,155 "," 8,033 "," 57,066 "
Aug-42," 62,165 "," 629,320 "," 12,066 "," 69,132 "
Sep-42," 45,033 "," 674,353 "," 1,000 "," 70,132 "
Oct-42," 25,000 "," 699,353 "," 5,000 "," 75,132 "
Nov-42," 31,198 "," 730,551 "," 7,033 "," 82,165 "
Dec-42," 78,759 "," 809,310 "," 5,033 "," 87,198 "
Jan-43," 180,310 "," 989,620 "," 5,066 "," 92,264 "
Feb-43," 68,330 "," 1,057,950 "," 6,033 "," 98,297 "
Mar-43," 46,066 "," 1,104,016 "," 13,033 "," 111,330 "
Apr-43," 16,000 "," 1,120,016 "," 5,066 "," 116,396 "
May-43," 19,066 "," 1,139,082 "," 12,033 "," 128,429 "
Jun-43," 13,066 "," 1,152,148 "," 8,000 "," 136,429 "
Jul-43," 71,231 "," 1,223,379 "," 8,000 "," 144,429 "
Aug-43," 59,198 "," 1,282,577 "," 7,000 "," 151,429 "
Sep-43," 57,429 "," 1,340,006 "," 12,066 "," 163,495 "
Oct-43," 53,264 "," 1,393,270 "," 8,066 "," 171,561 "
Nov-43," 67,363 "," 1,460,633 "," 10,033 "," 181,594 "
Dec-43," 49,330 "," 1,509,963 "," 17,000 "," 198,594 "
Jan-44," 70,330 "," 1,580,293 "," 11,000 "," 209,594 "
Feb-44," 64,429 "," 1,644,722 "," 27,066 "," 236,660 "
Mar-44," 93,660 "," 1,738,382 "," 19,099 "," 255,759 "
Apr-44," 73,264 "," 1,811,646 "," 19,099 "," 274,858 "
May-44," 48,363 "," 1,860,009 "," 30,132 "," 304,990 "
Jun-44," 142,079 "," 2,002,088 "," 40,099 "," 345,089 "
Jul-44," 169,881 "," 2,171,969 "," 45,132 "," 390,221 "
Aug-44," 277,465 "," 2,449,434 "," 71,495 "," 461,716 "
Sep-44," 70,561 "," 2,519,995 "," 81,396 "," 543,112 "
Oct-44," 92,528 "," 2,612,523 "," 91,561 "," 634,673 "
Nov-44," 45,363 "," 2,657,886 "," 58,198 "," 692,871 "
Dec-44," 85,023 "," 2,742,909 "," 74,363 "," 767,234 "
